SYSTEEM,JAAR_MAAND,PROVINCIENAAM,PLEEGGEMEENTE,PAALGEGEVENS,OMSCHRIJVING_FEITGROEP,INSTROOM,FLEX
WAHV ,2024 01,Drenthe,Assen,3607 Assen vaart zuidzijde thv kazerne,Snelheid,367
WAHV ,2024 01,Flevoland,Almere,3060 Almere s103 veluwedreef kruising hitchcocklaan,Verkeerslicht,13
WAHV ,2024 01,Flevoland,Almere,3061 Almere s103 veluwedreef kruising isadora duncanweg,Snelheid,226
WAHV ,2024 01,Flevoland,Almere,3061 Almere s103 veluwedreef kruising isadora duncanweg,Verkeerslicht,8
WAHV ,2024 01,Flevoland,Almere,3197 Almere s101-n702 hogering kruising karperweg thv hmp 8.0,Snelheid,144
WAHV ,2024 01,Flevoland,Almere,3197 Almere s101-n702 hogering kruising karperweg thv hmp 8.0,Verkeerslicht,6
WAHV ,2024 01,Flevoland,Almere,3198 Almere s101-n702 hogering kruising karperweg thv hmp 8.1,Snelheid,126
WAHV ,2024 01,Flevoland,Almere,3198 Almere s101-n702 hogering kruising karperweg thv hmp 8.1,Verkeerslicht,8
WAHV ,2024 01,Flevoland,Almere,3332 Almere steigerdreef kruising de steiger richting a6,Snelheid,445
WAHV ,2024 01,Flevoland,Almere,3332 Almere steigerdreef kruising de steiger richting a6,Verkeerslicht,29
WAHV ,2024 01,Flevoland,Almere,3333 Almere steigerdreef kruising de steiger richting noorderdreef,Snelheid,167
WAHV ,2024 01,Flevoland,Almere,3333 Almere steigerdreef kruising de steiger richting noorderdreef,Verkeerslicht,22
WAHV ,2024 01,Flevoland,Almere,3544 Almere s101-n702 buitenring kruising polderdreef,Snelheid,18
WAHV ,2024 01,Flevoland,Almere,3544 Almere s101-n702 buitenring kruising polderdreef,Verkeerslicht,78
WAHV ,2024 01,Flevoland,Almere,3546 Almere s106-n702 buitenring kruising grote vaartweg,Snelheid,16
WAHV ,2024 01,Flevoland,Almere,3546 Almere s106-n702 buitenring kruising grote vaartweg,Verkeerslicht,24
WAHV ,2024 01,Flevoland,Lelystad,3759 Lelystad larserdreef richting centrum,Snelheid,940
WAHV ,2024 01,Flevoland,Lelystad,4615 Lelystad larserdreef thv kruising delfland,Snelheid,234,True
WAHV ,2024 01,Flevoland,Noordoostpolder,4616 Noordoostpolder n331 vollenhoverweg thv hmp 29.8,Snelheid,735,True
WAHV ,2024 01,Flevoland,Zeewolde,3045 Zeewolde n305 gooiseweg kruising ganzenweg richting zeewolde,Snelheid,133
WAHV ,2024 01,Flevoland,Zeewolde,3045 Zeewolde n305 gooiseweg kruising ganzenweg richting zeewolde,Verkeerslicht,8
WAHV ,2024 01,Flevoland,Zeewolde,3046 Zeewolde n305 gooiseweg kruising ganzenweg richting biddinghuizen,Snelheid,308
WAHV ,2024 01,Flevoland,Zeewolde,3046 Zeewolde n305 gooiseweg kruising ganzenweg richting biddinghuizen,Verkeerslicht,8
WAHV ,2024 01,Flevoland,Zeewolde,3542 Zeewolde n305 gooiseweg kruising larserweg thv hmp 18.2,Snelheid,46
WAHV ,2024 01,Flevoland,Zeewolde,3542 Zeewolde n305 gooiseweg kruising larserweg thv hmp 18.2,Verkeerslicht,4
WAHV ,2024 01,Flevoland,Zeewolde,3543 Zeewolde n305 gooiseweg kruising larserweg richting biddinghuizen,Snelheid,235
WAHV ,2024 01,Flevoland,Zeewolde,3543 Zeewolde n305 gooiseweg kruising larserweg richting biddinghuizen,Verkeerslicht,45
WAHV ,2024 01,Friesland,Smallingerland,3606 Smallingerland het noord thv perceel 38,Snelheid,269
WAHV ,2024 01,Gelderland,Apeldoorn,3571 Apeldoorn arnhemseweg kruising ravenweg,Snelheid,349
WAHV ,2024 01,Gelderland,Apeldoorn,3571 Apeldoorn arnhemseweg kruising ravenweg,Verkeerslicht,26
WAHV ,2024 01,Gelderland,Apeldoorn,3620 Apeldoorn jachtlaan thv perceel 93,Snelheid,441
WAHV ,2024 01,Gelderland,Apeldoorn,3920 Apeldoorn ravenweg kruising arnhemseweg,Snelheid,26
WAHV ,2024 01,Gelderland,Apeldoorn,3920 Apeldoorn ravenweg kruising arnhemseweg,Verkeerslicht,24
WAHV ,2024 01,Gelderland,Arnhem,3040 Arnhem nijmeegseweg kruising batavierenweg,Snelheid,591
WAHV ,2024 01,Gelderland,Arnhem,3040 Arnhem nijmeegseweg kruising batavierenweg,Verkeerslicht,3
WAHV ,2024 01,Gelderland,Arnhem,3097 Arnhem nijmeegseweg kruising akeleistraat,Snelheid,317
WAHV ,2024 01,Gelderland,Arnhem,3097 Arnhem nijmeegseweg kruising akeleistraat,Verkeerslicht,55
WAHV ,2024 01,Gelderland,Arnhem,3107 Arnhem nijmeegseweg kruising airborneplein b. heuvelink,Snelheid,177
WAHV ,2024 01,Gelderland,Arnhem,3107 Arnhem nijmeegseweg kruising airborneplein b. heuvelink,Verkeerslicht,45
WAHV ,2024 01,Gelderland,Arnhem,3108 Arnhem batavierenweg kruising burgemeester matsersingel,Snelheid,111
WAHV ,2024 01,Gelderland,Arnhem,3108 Arnhem batavierenweg kruising burgemeester matsersingel,Verkeerslicht,18
WAHV ,2024 01,Gelderland,Arnhem,3411 Arnhem  lange water kruising lange wal,Snelheid,176
WAHV ,2024 01,Gelderland,Arnhem,3411 Arnhem  lange water kruising lange wal,Verkeerslicht,4
WAHV ,2024 01,Gelderland,Arnhem,3412 Arnhem lange water kruising bethaniënstraat,Snelheid,129
WAHV ,2024 01,Gelderland,Arnhem,3412 Arnhem lange water kruising bethaniënstraat,Verkeerslicht,7
WAHV ,2024 01,Gelderland,Arnhem,3414 Arnhem  velperbuitensingel kruising steenstraat,Snelheid,113
WAHV ,2024 01,Gelderland,Arnhem,3414 Arnhem  velperbuitensingel kruising steenstraat,Verkeerslicht,42
WAHV ,2024 01,Gelderland,Arnhem,3415 Arnhem  batavierenweg kruising eldenseweg,Snelheid,417
WAHV ,2024 01,Gelderland,Arnhem,3415 Arnhem  batavierenweg kruising eldenseweg,Verkeerslicht,9
WAHV ,2024 01,Gelderland,Arnhem,3549 Arnhem n325 pleijweg kruising nijmeegseweg,Snelheid,1
WAHV ,2024 01,Gelderland,Arnhem,3549 Arnhem n325 pleijweg kruising nijmeegseweg,Verkeerslicht,8
WAHV ,2024 01,Gelderland,Arnhem,3550 Arnhem n325 pleijweg kruising nijmeegseweg,Verkeerslicht,11
WAHV ,2024 01,Gelderland,Arnhem,3556 Arnhem burgemeester matsersingel kruising groningensingel,Snelheid,176
WAHV ,2024 01,Gelderland,Arnhem,3556 Arnhem burgemeester matsersingel kruising groningensingel,Verkeerslicht,25
WAHV ,2024 01,Gelderland,Arnhem,3623 Arnhem marga klompelaan thv lichtmast 12,Snelheid,229
WAHV ,2024 01,Gelderland,Arnhem,3890 Arnhem nijmeegseweg kruising gelderse rooslaan,Snelheid,320
WAHV ,2024 01,Gelderland,Arnhem,3890 Arnhem nijmeegseweg kruising gelderse rooslaan,Verkeerslicht,20
WAHV ,2024 01,Gelderland,Arnhem,3914 Arnhem n224 amsterdamseweg kruising schelmseweg,Snelheid,103
WAHV ,2024 01,Gelderland,Arnhem,3914 Arnhem n224 amsterdamseweg kruising schelmseweg,Verkeerslicht,2
WAHV ,2024 01,Gelderland,Barneveld,3750 Barneveld stationsweg n805 thv huisnr 51,Snelheid,658
WAHV ,2024 01,Gelderland,Culemborg,3918 Culemborg n320 provincialeweg kruising rietveldseweg,Snelheid,222
WAHV ,2024 01,Gelderland,Culemborg,3918 Culemborg n320 provincialeweg kruising rietveldseweg,Verkeerslicht,22
WAHV ,2024 01,Gelderland,Culemborg,3919 Culemborg n320 provincialeweg kruising daam van dijkweg,Snelheid,218
WAHV ,2024 01,Gelderland,Culemborg,3919 Culemborg n320 provincialeweg kruising daam van dijkweg,Verkeerslicht,10
WAHV ,2024 01,Gelderland,Ede,3050 Ede keesomstraat kruising galvanistraat,Snelheid,110
WAHV ,2024 01,Gelderland,Ede,3050 Ede keesomstraat kruising galvanistraat,Verkeerslicht,32
WAHV ,2024 01,Gelderland,Ede,3316 Ede dr. w. dreeslaan kruising willy brandtlaan,Snelheid,734
WAHV ,2024 01,Gelderland,Ede,3316 Ede dr. w. dreeslaan kruising willy brandtlaan,Verkeerslicht,26
WAHV ,2024 01,Gelderland,Ede,3342 Ede n224 rijksweg kruising laarwoud richting arnhem,Snelheid,536
WAHV ,2024 01,Gelderland,Ede,3342 Ede n224 rijksweg kruising laarwoud richting arnhem,Verkeerslicht,5
WAHV ,2024 01,Gelderland,Ede,3343 Ede n224 rijksweg kruising laarwoud richting a30 (renswoude),Snelheid,236
WAHV ,2024 01,Gelderland,Ede,3343 Ede n224 rijksweg kruising laarwoud richting a30 (renswoude),Verkeerslicht,16
WAHV ,2024 01,Gelderland,Ede,3625 Ede van balverenweg thv perceel 63,Snelheid,455
WAHV ,2024 01,Gelderland,Ede,3628 Ede molenstraat thv perceel 192,Snelheid,163
WAHV ,2024 01,Gelderland,Ede,3629 Ede n310 dorpsstraat thv perceel 225,Snelheid,235
WAHV ,2024 01,Gelderland,Ede,3630 Ede n310 otterloseweg thv perceel 5,Snelheid,1075
WAHV ,2024 01,Gelderland,Ede,3816 Ede n310 arnhemseweg thv perceel 42,Snelheid,1046
WAHV ,2024 01,Gelderland,Harderwijk,4016 Harderwijk lorentzstraat thv voltastraat,Snelheid,603
WAHV ,2024 01,Gelderland,Nijkerk,3631 Nijkerk frieswijkstraat thv perceel 115,Snelheid,227
WAHV ,2024 01,Gelderland,Nijkerk,3732 Nijkerk vetkamp thv perceel 70,Snelheid,98
WAHV ,2024 01,Gelderland,Nijmegen,3011 Nijmegen n326 graafseweg kruising groenestraat,Snelheid,133
WAHV ,2024 01,Gelderland,Nijmegen,3011 Nijmegen n326 graafseweg kruising groenestraat,Verkeerslicht,33
WAHV ,2024 01,Gelderland,Nijmegen,3012 Nijmegen n326 wijchenseweg kruising woonboulevard richting a73,Snelheid,560
WAHV ,2024 01,Gelderland,Nijmegen,3012 Nijmegen n326 wijchenseweg kruising woonboulevard richting a73,Verkeerslicht,66
WAHV ,2024 01,Gelderland,Nijmegen,3109 Nijmegen n326 graafseweg kruising wolfskuilseweg,Snelheid,199
WAHV ,2024 01,Gelderland,Nijmegen,3109 Nijmegen n326 graafseweg kruising wolfskuilseweg,Verkeerslicht,36
WAHV ,2024 01,Gelderland,Nijmegen,3318 Nijmegen neerbosscheweg kruising graafseweg richting a73,Snelheid,159
WAHV ,2024 01,Gelderland,Nijmegen,3318 Nijmegen neerbosscheweg kruising graafseweg richting a73,Verkeerslicht,44
WAHV ,2024 01,Gelderland,Nijmegen,3417 Nijmegen n326 graafseweg kruising neerbosscheweg richting centrum,Snelheid,154
WAHV ,2024 01,Gelderland,Nijmegen,3417 Nijmegen n326 graafseweg kruising neerbosscheweg richting centrum,Verkeerslicht,13
WAHV ,2024 01,Gelderland,Nijmegen,3418 Nijmegen neerbosscheweg kruising graafseweg,Snelheid,201
WAHV ,2024 01,Gelderland,Nijmegen,3418 Nijmegen neerbosscheweg kruising graafseweg,Verkeerslicht,89
WAHV ,2024 01,Gelderland,Nijmegen,3420 Nijmegen n326 graafseweg richting grave kruising neerbosscheweg,Snelheid,140
WAHV ,2024 01,Gelderland,Nijmegen,3420 Nijmegen n326 graafseweg richting grave kruising neerbosscheweg,Verkeerslicht,15
WAHV ,2024 01,Gelderland,Nijmegen,3421 Nijmegen n326 oranjesingel kruising prins bernhardstraat,Snelheid,6
WAHV ,2024 01,Gelderland,Nijmegen,3421 Nijmegen n326 oranjesingel kruising prins bernhardstraat,Verkeerslicht,7
WAHV ,2024 01,Gelderland,Nijmegen,3551 Nijmegen n326 oranjesingel kruising van schevichavenstraat,Snelheid,69
WAHV ,2024 01,Gelderland,Nijmegen,3551 Nijmegen n326 oranjesingel kruising van schevichavenstraat,Verkeerslicht,67
WAHV ,2024 01,Gelderland,Nijmegen,3632 Nijmegen sint annastraat thv lichtmast nl31,Snelheid,320
WAHV ,2024 01,Gelderland,Nijmegen,3633 Nijmegen van apelterenweg thv kruising malvert,Snelheid,351
WAHV ,2024 01,Gelderland,Nijmegen,3634 Nijmegen van schuylenburgweg thv kruising zwanenveld,Snelheid,274
WAHV ,2024 01,Gelderland,Nijmegen,3733 Nijmegen energieweg thv perceel 17 richting industrieplein,Snelheid,499
WAHV ,2024 01,Gelderland,Nijmegen,3734 Nijmegen energieweg thv perceel 17 richting neerbosscheweg,Snelheid,584
WAHV ,2024 01,Gelderland,Nijmegen,3884 Nijmegen n326 graafseweg kruising campusbaan,Snelheid,176
WAHV ,2024 01,Gelderland,Nijmegen,3884 Nijmegen n326 graafseweg kruising campusbaan,Verkeerslicht,35
WAHV ,2024 01,Gelderland,Nijmegen,3901 Nijmegen n326 wijchenseweg kruising woonboulevard richting centrum,Snelheid,599
WAHV ,2024 01,Gelderland,Nijmegen,3901 Nijmegen n326 wijchenseweg kruising woonboulevard richting centrum,Verkeerslicht,24
WAHV ,2024 01,Gelderland,Nijmegen,3906 Nijmegen n326 graafseweg kruising willemsweg,Snelheid,279
WAHV ,2024 01,Gelderland,Nijmegen,3906 Nijmegen n326 graafseweg kruising willemsweg,Verkeerslicht,19
WAHV ,2024 01,Gelderland,Putten,3814 Putten van geenstraat thv haverstraat,Snelheid,426
WAHV ,2024 01,Gelderland,Putten,3882 Putten n303 harderwijkerstraat thv hmp 14.7,Snelheid,156
WAHV ,2024 01,Gelderland,Rheden,3626 Rheden harderwijkerweg thv perceel 5a,Snelheid,303
WAHV ,2024 01,Gelderland,Rheden,3815 Rheden hoofdstraat thv perceel 36,Snelheid,300
WAHV ,2024 01,Gelderland,Voorst,3621 Voorst n791 molenallee thv hmp 3.7,Snelheid,577
WAHV ,2024 01,Gelderland,Voorst,4309 Voorst a1 thv hmp 94.7 richting apeldoorn,Snelheid,11215,True
WAHV ,2024 01,Gelderland,Zevenaar,3416 Zevenaar ringbaan-noord kruising lentemorgen,Snelheid,94
WAHV ,2024 01,Gelderland,Zevenaar,3416 Zevenaar ringbaan-noord kruising lentemorgen,Verkeerslicht,34
WAHV ,2024 01,Groningen,Groningen,3103 Groningen damsterdiep kruising petrus campersingel,Snelheid,1
WAHV ,2024 01,Groningen,Groningen,3103 Groningen damsterdiep kruising petrus campersingel,Verkeerslicht,44
WAHV ,2024 01,Groningen,Groningen,3104 Groningen europaweg kruising damsterdiep,Snelheid,24
WAHV ,2024 01,Groningen,Groningen,3104 Groningen europaweg kruising damsterdiep,Verkeerslicht,25
WAHV ,2024 01,Groningen,Groningen,3328 Groningen europaweg thv sontplein,Snelheid,2681
WAHV ,2024 01,Groningen,Groningen,3404 Groningen n370 friesestraatweg kruising siersteenlaan,Snelheid,54
WAHV ,2024 01,Groningen,Groningen,3404 Groningen n370 friesestraatweg kruising siersteenlaan,Verkeerslicht,4
WAHV ,2024 01,Groningen,Groningen,3405 Groningen n370 friesestraatweg kruising pleiadenlaan,Snelheid,64
WAHV ,2024 01,Groningen,Groningen,3405 Groningen n370 friesestraatweg kruising pleiadenlaan,Verkeerslicht,6
WAHV ,2024 01,Groningen,Groningen,3756 Groningen rijksstraatweg thv huisnummer 66,Snelheid,465
WAHV ,2024 01,Groningen,Groningen,3801 Groningen emmaviaduct richting julianaplein,Snelheid,469
WAHV ,2024 01,Groningen,Groningen,3802 Groningen emmaviaduct richting centrum,Snelheid,197
WAHV ,2024 01,Groningen,Groningen,3805 Groningen n360 rijksweg thv kruising geweideweg,Snelheid,513
WAHV ,2024 01,Groningen,Groningen,3898 Groningen sontweg kruising europaweg,Snelheid,6
WAHV ,2024 01,Groningen,Groningen,3898 Groningen sontweg kruising europaweg,Verkeerslicht,131
WAHV ,2024 01,Groningen,Het Hogeland,3323 Het Hogeland n361 provincialeweg kruising torenweg richting groningen,Snelheid,53
WAHV ,2024 01,Groningen,Het Hogeland,3323 Het Hogeland n361 provincialeweg kruising torenweg richting groningen,Verkeerslicht,11
WAHV ,2024 01,Groningen,Midden-Groningen,3803 Midden-Groningen n33 rijksweg thv hmp 52.1,Snelheid,150
WAHV ,2024 01,Groningen,Midden-Groningen,3804 Midden-Groningen n33 rijksweg thv kruising n387,Snelheid,454
WAHV ,2024 01,Groningen,Midden-Groningen,4609 Midden-Groningen n386 woldweg thv huisnummer 145a,Snelheid,377,True
WAHV ,2024 01,Groningen,Westerkwartier,3402 Westerkwartier n355 groningerstraatweg kruising n388 kievitsweg,Snelheid,6
WAHV ,2024 01,Groningen,Westerkwartier,3402 Westerkwartier n355 groningerstraatweg kruising n388 kievitsweg,Verkeerslicht,7
WAHV ,2024 01,Groningen,Westerkwartier,3403 Westerkwartier n355 groningerstraatweg kruising kievitsweg,Verkeerslicht,5
WAHV ,2024 01,Groningen,Westerkwartier,3757 Westerkwartier auwemalaan thv kruising oldenoert,Snelheid,73
WAHV ,2024 01,Groningen,Westerkwartier,4017 Westerkwartier lindensteinlaan kruising oldenoert,Snelheid,18
WAHV ,2024 01,Limburg,Beek,3873 Beek stationsstraat thv perceel 71,Snelheid,473
WAHV ,2024 01,Limburg,Beekdaelen,3190 Beekdaelen n276 provincialeweg noord kruising provincialeweg thv hmp 9.1,Snelheid,10
WAHV ,2024 01,Limburg,Beekdaelen,3190 Beekdaelen n276 provincialeweg noord kruising provincialeweg thv hmp 9.1,Verkeerslicht,7
WAHV ,2024 01,Limburg,Beekdaelen,3191 Beekdaelen n276 provincialeweg noord kruising provincialeweg thv hmp 9.2,Snelheid,23
WAHV ,2024 01,Limburg,Beekdaelen,3191 Beekdaelen n276 provincialeweg noord kruising provincialeweg thv hmp 9.2,Verkeerslicht,20
WAHV ,2024 01,Limburg,Beekdaelen,3744 Beekdaelen n582 kerkweg thv perceel 71,Snelheid,83
WAHV ,2024 01,Limburg,Bergen (L),3751 Bergen (L) n271 knikkerdorp thv hmp 94.4,Snelheid,605
WAHV ,2024 01,Limburg,Gennep,4001 Gennep n271 rijksweg kruising hoofdstraat,Snelheid,22
WAHV ,2024 01,Limburg,Gennep,4001 Gennep n271 rijksweg kruising hoofdstraat,Verkeerslicht,8
WAHV ,2024 01,Limburg,Gulpen-Wittem,3534 Gulpen-Wittem n278 rijksweg kruising molenweg,Snelheid,132
WAHV ,2024 01,Limburg,Gulpen-Wittem,3534 Gulpen-Wittem n278 rijksweg kruising molenweg,Verkeerslicht,11
WAHV ,2024 01,Limburg,Gulpen-Wittem,3535 Gulpen-Wittem n278 rijksweg kruising partijerweg,Snelheid,1
WAHV ,2024 01,Limburg,Gulpen-Wittem,3535 Gulpen-Wittem n278 rijksweg kruising partijerweg,Verkeerslicht,12
WAHV ,2024 01,Limburg,Gulpen-Wittem,3536 Gulpen-Wittem n278 rijksweg kruising wittemer allee,Snelheid,3
WAHV ,2024 01,Limburg,Gulpen-Wittem,3536 Gulpen-Wittem n278 rijksweg kruising wittemer allee,Verkeerslicht,12
WAHV ,2024 01,Limburg,Heerlen,3537 Heerlen n281 kruising toerit a76 aachen,Snelheid,48
WAHV ,2024 01,Limburg,Heerlen,3537 Heerlen n281 kruising toerit a76 aachen,Verkeerslicht,15
WAHV ,2024 01,Limburg,Heerlen,3540 Heerlen n281 kruising toerit a76 maastricht,Verkeerslicht,2
WAHV ,2024 01,Limburg,Heerlen,3727 Heerlen molenberglaan thv perceel 96,Snelheid,169
WAHV ,2024 01,Limburg,Heerlen,3738 Heerlen n281 keulseweg thv hmp 25.2,Snelheid,46
WAHV ,2024 01,Limburg,Heerlen,3742 Heerlen n281 provinciale weg thv hmp 28.7,Snelheid,87
WAHV ,2024 01,Limburg,Heerlen,4005 Heerlen heerenweg thv perceel 8,Snelheid,543
WAHV ,2024 01,Limburg,Horst aan de Maas,4006 Horst aan de Maas tienrayseweg thv perceel 18,Snelheid,124
WAHV ,2024 01,Limburg,Horst aan de Maas,4007 Horst aan de Maas n554 spoorstraat thv hmp 2.9,Snelheid,63
WAHV ,2024 01,Limburg,Kerkrade,3728 Kerkrade drievogelstraat thv perceel 83,Snelheid,107
WAHV ,2024 01,Limburg,Landgraaf,3974 Landgraaf kleikoeleweg thv perceel 76,Snelheid,44,True
WAHV ,2024 01,Limburg,Leudal,3181 Leudal n273 napoleonsweg noord kruising brugstraat,Verkeerslicht,4
WAHV ,2024 01,Limburg,Leudal,3182 Leudal n273 napoleonsweg zuid kruising pater jac. schreursweg,Snelheid,1
WAHV ,2024 01,Limburg,Leudal,3182 Leudal n273 napoleonsweg zuid kruising pater jac. schreursweg,Verkeerslicht,20
WAHV ,2024 01,Limburg,Leudal,3723 Leudal n273 napoleonsweg thv hmp 50.0,Snelheid,325
WAHV ,2024 01,Limburg,Leudal,3724 Leudal n273 napoleonsweg thv hmp 54.3,Snelheid,138
WAHV ,2024 01,Limburg,Leudal,3735 Leudal n280 rijksweg thv hmp 8.7,Snelheid,912
WAHV ,2024 01,Limburg,Maastricht,3186 Maastricht n278 akersteenweg  thv lichtmast 588,Snelheid,190
WAHV ,2024 01,Limburg,Maastricht,3186 Maastricht n278 akersteenweg  thv lichtmast 588,Verkeerslicht,6
WAHV ,2024 01,Limburg,Maastricht,3187 Maastricht n278 akersteenweg kruising burg. kessensingel richting centrum,Snelheid,118
WAHV ,2024 01,Limburg,Maastricht,3187 Maastricht n278 akersteenweg kruising burg. kessensingel richting centrum,Verkeerslicht,60
WAHV ,2024 01,Limburg,Maastricht,3533 Maastricht  via regia kruising dokter bakstraat,Snelheid,31
WAHV ,2024 01,Limburg,Maastricht,3533 Maastricht  via regia kruising dokter bakstraat,Verkeerslicht,22
WAHV ,2024 01,Limburg,Maastricht,3730 Maastricht meerssenerweg thv perceel 78,Snelheid,619
WAHV ,2024 01,Limburg,Maastricht,3879 Maastricht brusselseweg thv perceel 641,Snelheid,179
WAHV ,2024 01,Limburg,Nederweert,3725 Nederweert n275 venloseweg thv hmp 27.3,Snelheid,77
WAHV ,2024 01,Limburg,Nederweert,3731 Nederweert n275 venloseweg thv hmp 25.2,Snelheid,318
WAHV ,2024 01,Limburg,Nederweert,3872 Nederweert n275 venloseweg thv perceel 18,Snelheid,297
WAHV ,2024 01,Limburg,Peel en Maas,3178 Peel en Maas n273 rijksweg kruising lanterdweg,Snelheid,3
WAHV ,2024 01,Limburg,Peel en Maas,3178 Peel en Maas n273 rijksweg kruising lanterdweg,Verkeerslicht,6
WAHV ,2024 01,Limburg,Peel en Maas,3179 Peel en Maas n273 rijksweg kruising maasstraat,Snelheid,1
WAHV ,2024 01,Limburg,Peel en Maas,3179 Peel en Maas n273 rijksweg kruising maasstraat,Verkeerslicht,3
WAHV ,2024 01,Limburg,Peel en Maas,3721 Peel en Maas n273 napoleonsbaan zuid thv hmp 64.5,Snelheid,180
WAHV ,2024 01,Limburg,Roermond,3524 Roermond n271 rijksweg noord kruising molenweg,Snelheid,8
WAHV ,2024 01,Limburg,Roermond,3524 Roermond n271 rijksweg noord kruising molenweg,Verkeerslicht,13
WAHV ,2024 01,Limburg,Roermond,3525 Roermond n271 rijksweg noord kruising hollestraat,Snelheid,23
WAHV ,2024 01,Limburg,Roermond,3525 Roermond n271 rijksweg noord kruising hollestraat,Verkeerslicht,5
WAHV ,2024 01,Limburg,Roermond,4607 Roermond venloseweg thv huisnummer 37,Snelheid,345,True
WAHV ,2024 01,Limburg,Sittard-Geleen,3022 Sittard-Geleen doctor nolenslaan thv perceel 115,Snelheid,607
WAHV ,2024 01,Limburg,Sittard-Geleen,3023 Sittard-Geleen leyenbroekerweg thv perceel 108,Snelheid,227
WAHV ,2024 01,Limburg,Sittard-Geleen,3189 Sittard-Geleen doctor nolenslaan kruising nusterweg,Snelheid,258
WAHV ,2024 01,Limburg,Sittard-Geleen,3189 Sittard-Geleen doctor nolenslaan kruising nusterweg,Verkeerslicht,8
WAHV ,2024 01,Limburg,Sittard-Geleen,3192 Sittard-Geleen n294 urmonderbaan kruising mauritsweg richting sittard,Snelheid,14
WAHV ,2024 01,Limburg,Sittard-Geleen,3192 Sittard-Geleen n294 urmonderbaan kruising mauritsweg richting sittard,Verkeerslicht,7
WAHV ,2024 01,Limburg,Sittard-Geleen,3193 Sittard-Geleen n294 urmonderbaan kruising mauritsweg richting urmond,Snelheid,16
WAHV ,2024 01,Limburg,Sittard-Geleen,3193 Sittard-Geleen n294 urmonderbaan kruising mauritsweg richting urmond,Verkeerslicht,8
WAHV ,2024 01,Limburg,Sittard-Geleen,3538 Sittard-Geleen n294 urmonderbaan kruising veldweg,Snelheid,42
WAHV ,2024 01,Limburg,Sittard-Geleen,3538 Sittard-Geleen n294 urmonderbaan kruising veldweg,Verkeerslicht,7
WAHV ,2024 01,Limburg,Sittard-Geleen,3539 Sittard-Geleen n294 urmonderbaan kruising burgemeester lemmenstraat,Snelheid,43
WAHV ,2024 01,Limburg,Sittard-Geleen,3539 Sittard-Geleen n294 urmonderbaan kruising burgemeester lemmenstraat,Verkeerslicht,22
WAHV ,2024 01,Limburg,Sittard-Geleen,3726 Sittard-Geleen frans erenslaan thv perceel 19,Snelheid,420
WAHV ,2024 01,Limburg,Venlo,3042 Venlo klagenfurtlaan thv lichtmast 2241,Snelheid,657
WAHV ,2024 01,Limburg,Venlo,3176 Venlo n556 eindhovenseweg kruising groot bollerweg richting venlo,Snelheid,31
